date_created,file_name,count_lines,mask_ratio
2021/05/12,V2F_HY_9781_20201224_101430_N_CH2_Seoul_Sun_Mainroad_Day_72571.png,289,35.678
2021/05/12,V2F_HY_4673_20201222_152139_N_CH2_Seoul_Sun_Mainroad_Day_55780.png,331,35.094
2021/05/12,V3F_HY_7822_20160212_023149_N_CH2_Seoul_Sun_Frontback_Day_23635.png,299,31.503
2021/05/12,V2F_HY_6008_20201229_111546_N_CH2_Seoul_Sun_Mainroad_Day_36036.png,1002,30.616
2021/05/12,V2F_HY_2089_20201109_093148_N_CH2_Seoul_Sun_Frontback_Day_84441.png,201,25.761
2021/05/12,V2F_HY_3949_20201224_120114_N_CH2_Seoul_Sun_Mainroad_Day_01420.png,124,24.281
2021/05/12,V2F_HY_7510_20201224_101430_N_CH2_Seoul_Sun_Mainroad_Day_15218.png,189,23.732
2021/05/12,V2F_HY_5917_20201224_120114_N_CH2_Seoul_Sun_Mainroad_Day_23568.png,110,23.152
2021/05/12,V2F_HY_9983_20201102_081531_E_CH0_Seoul_Sun_Mainroad_Day_36253.png,418,22.484
2021/05/12,V2F_HY_3603_20201102_115816_N_CH2_Seoul_Sun_Frontback_Day_18924.png,282,21.86
2021/05/12,V0F_HY_9441_20201105_121302_N_CH2_Seoul_Sun_Frontback_Day_57815.png,300,21.726
2021/05/12,V3F_HY_5389_20160212_023149_N_CH2_Seoul_Sun_Mainroad_Day_27177.png,244,21.721
2021/05/12,V1F_HY_9878_20160212_012914_E_CH1_Seoul_Cloud_Mainroad_Day_56176.png,1043,21.529
2021/05/12,V1F_HY_2332_20160212_013214_N_CH2_Seoul_Cloud_Frontback_Day_92217.png,435,21.0
2021/05/12,V2F_HY_6914_20201224_120114_N_CH2_Seoul_Sun_Mainroad_Day_61647.png,209,20.371
2021/05/12,V0F_HY_0799_20201223_134915_N_CH2_Seoul_Sun_Mainroad_Day_39541.png,119,20.299
2021/05/12,V1F_HY_0804_20160212_014314_N_CH2_Seoul_Cloud_Frontback_Day_38623.png,331,20.17
2021/05/12,V1F_HY_2700_20160212_014314_N_CH2_Seoul_Cloud_Frontback_Day_75770.png,401,20.127
2021/05/12,V0F_HY_9523_20210106_093757_N_CH1_Seoul_Sun_Mainroad_Day_99565.png,267,20.098
2021/05/12,V2F_HY_3732_20201102_081731_E_CH0_Seoul_Sun_Mainroad_Day_03176.png,362,20.009
2021/05/12,V2F_HY_4570_20201224_102424_E_CH1_Seoul_Sun_Mainroad_Sunrise_83215.png,132,19.984
2021/05/12,V3F_HY_2727_20160212_021918_E_CH0_Seoul_Sun_Frontback_Day_49891.png,259,19.85
2021/05/12,V1F_HY_5850_20160212_014314_N_CH2_Seoul_Cloud_Frontback_Day_42611.png,143,18.996
2021/05/12,V0F_HY_5802_20201228_150955_E_CH0_Seoul_Sun_Mainroad_Day_73502.png,232,18.931
2021/05/12,V1F_HY_5302_20160212_013014_N_CH1_Seoul_Cloud_Frontback_Day_65947.png,316,18.809
2021/05/12,V1F_HY_7259_20160212_013214_N_CH2_Seoul_Cloud_Frontback_Day_41509.png,181,18.43
2021/05/12,V2F_HY_5611_20201229_115039_N_CH2_Seoul_Sun_Frontback_Day_93825.png,60,18.339
2021/05/12,V2F_HY_3539_20201224_102424_N_CH1_Seoul_Sun_Mainroad_Sunrise_09071.png,130,17.69
2021/05/12,V1F_HY_9676_20160212_013214_N_CH1_Seoul_Cloud_Frontback_Day_92328.png,419,17.532
2021/05/12,V1F_HY_9308_20160212_013214_N_CH1_Seoul_Cloud_Frontback_Day_33272.png,213,17.493
2021/05/12,V2F_HY_5945_20201221_110602_E_CH0_Seoul_Sun_Mainroad_Day_65492.png,219,17.389
2021/05/12,V2F_HY_2536_20201102_115516_N_CH2_Seoul_Sun_Frontback_Day_78305.png,305,17.333
2021/05/12,V2F_HY_0410_20201224_120114_E_CH0_Seoul_Sun_Mainroad_Day_24944.png,463,17.21
2021/05/12,V2F_HY_1034_20201224_103624_N_CH2_Seoul_Sun_Mainroad_Sunrise_96719.png,77,16.898
2021/05/12,V2F_HY_2910_20201221_115530_N_CH1_Seoul_Sun_Highway_Day_12969.png,140,16.884
2021/05/12,V1F_HY_3262_20160212_021049_E_CH1_Seoul_Sun_Mainroad_Day_68430.png,96,16.761
2021/05/12,V2F_HY_1548_20201102_081731_N_CH2_Seoul_Sun_Mainroad_Day_46015.png,84,16.618
2021/05/12,V2F_HY_6609_20201224_102424_N_CH1_Seoul_Sun_Mainroad_Day_92284.png,147,16.535
2021/05/12,V3F_HY_2265_20201105_142200_N_CH2_Seoul_Sun_Mainroad_Day_58451.png,136,16.519
2021/05/12,V2F_HY_7038_20201229_114116_E_CH0_Seoul_Sun_Mainroad_Day_33455.png,127,16.363
2021/05/12,V2F_HY_8502_20201224_103624_N_CH2_Seoul_Sun_Mainroad_Sunrise_40402.png,159,16.157
2021/05/12,V2F_HY_8132_20201221_122515_N_CH0_Seoul_Sun_Frontback_Day_92994.png,304,16.111
2021/05/12,V2F_HY_0127_20201221_122415_E_CH0_Seoul_Sun_Kidzone_Day_03049.png,143,15.908
2021/05/12,V2F_HY_7597_20201221_150441_N_CH2_Seoul_Sun_Mainroad_Day_52237.png,140,15.856
2021/05/12,V1F_HY_4860_20160212_012914_N_CH2_Seoul_Sun_Mainroad_Sunrise_76381.png,9,15.715
2021/05/12,V2F_HY_6800_20201224_105810_N_CH1_Seoul_Sun_Mainroad_Day_27893.png,66,15.689
2021/05/12,V1F_HY_9960_20160212_013114_N_CH1_Seoul_Cloud_Frontback_Day_92929.png,210,15.669
2021/05/12,V2F_HY_8478_20201229_120813_N_CH0_Seoul_Sun_Mainroad_Day_67944.png,181,15.628
2021/05/12,V2F_HY_4347_20201102_113608_N_CH2_Seoul_Sun_Frontback_Day_49746.png,56,15.576
2021/05/12,V1F_HY_5643_20160212_014740_N_CH1_Seoul_Sun_Mainroad_Day_44491.png,240,15.518
2021/05/12,V2F_HY_7367_20201102_101105_E_CH0_Seoul_Sun_Frontback_Day_55117.png,473,15.486
2021/05/12,V2F_HY_0995_20201224_111814_N_CH2_Seoul_Sun_Mainroad_Day_33860.png,8,15.442
2021/05/12,V2F_HY_7280_20201221_105653_E_CH1_Seoul_Sun_Mainroad_Day_07630.png,109,15.419
2021/05/12,V2F_HY_1003_20201222_154551_N_CH2_Seoul_Sun_Mainroad_Day_79017.png,102,15.27
2021/05/12,V2F_HY_6893_20201221_102323_N_CH2_Seoul_Sun_Mainroad_Day_58865.png,168,15.255
2021/05/12,V2F_HY_2756_20201229_114616_E_CH1_Seoul_Sun_Mainroad_Day_66523.png,208,15.25
2021/05/12,V1F_HY_9879_20160212_013614_E_CH1_Seoul_Cloud_Mainroad_Day_58159.png,59,15.246
2021/05/12,V1F_HY_1171_20160212_013114_N_CH2_Seoul_Cloud_Frontback_Day_52853.png,45,15.208
2021/05/12,V2F_HY_9600_20201102_113308_N_CH2_Seoul_Sun_Frontback_Day_42825.png,115,15.165
2021/05/12,V1F_HY_3717_20160212_021049_E_CH1_Seoul_Sun_Mainroad_Day_75546.png,77,15.061
2021/05/12,V2F_HY_9455_20201102_095305_E_CH1_Seoul_Sun_Highway_Day_16699.png,364,15.032
2021/05/12,V2F_HY_2606_20210113_142449_E_CH0_Seoul_Sun_Industrialroads_Day_69143.png,192,15.024
2021/05/12,V2F_HY_0701_20201224_102424_N_CH1_Seoul_Sun_Mainroad_Day_18690.png,93,15.015
2021/05/12,V1F_HY_2000_20160212_014314_N_CH2_Seoul_Cloud_Frontback_Day_42935.png,112,14.977
2021/05/12,V2F_HY_4475_20201224_102424_N_CH1_Seoul_Sun_Mainroad_Sunrise_76582.png,66,14.973
2021/05/12,V2F_HY_7382_20201102_081531_E_CH1_Seoul_Sun_Mainroad_Day_32003.png,302,14.948
2021/05/12,V1F_HY_9775_20160212_013114_N_CH2_Seoul_Cloud_Frontback_Day_92768.png,154,14.919
2021/05/12,V2F_HY_9372_20201224_102424_N_CH0_Seoul_Sun_Mainroad_Sunrise_12501.png,116,14.895
2021/05/12,V2F_HY_8060_20201224_103724_E_CH1_Seoul_Sun_Mainroad_Sunrise_02354.png,804,14.847
2021/05/12,V1F_HY_9017_20160212_012917_N_CH1_Seoul_Sun_Frontback_Day_37254.png,164,14.79
2021/05/12,V1F_HY_8955_20201210_141506_N_CH1_Seoul_Cloud_Frontback_Day_34571.png,94,14.733
